kd_lpse,kd_agency,kd_lelang,nama_lpse,nama_agency,kd_paket,nama_paket,nama_panitia,hasil_lelang,nama_pemenang,npwp_pemenang,hps,tgl_pengumuman,nama_satker,nilai_kontrak,tanggal_kontrak,tanggal_akhir_lelang,sumber_dana,tahun_anggaran,kategori,kd_satker,pagu,kd_pemenang,kd_kabupaten,nama_kabupaten,nama_propinsi
252,16999,995252,LPSE Kementerian Hukum dan HAM RI,KANTOR WILAYAH KEPULAUAN RIAU,1002252,Pengadaan Bahan Makanan Narapidana dan Tahanan Lembaga Pemasyarakatan Klas IIA Tanjungpinang,Panitia Pengadaan Bama Napi/Tahanan Pada Lapas Klas IIA Tanjungpinang TA 2013,1331981000,"","",1341436000,2012-12-06,Lembaga Pemasyarakatan Kelas IIA Tanjungpinang,"","",2012-12-28,APBN,2013,Pengadaan Barang,114252,1341506000,"",14752,Jakarta Selatan (Kota),DKI Jakarta
11,695011,7488011,LPSE Kementerian Keuangan,Lembaga Administrasi Negara,6970011,"Pekerjaan Perawatan/Pemeliharaan Kebersihan Gedung, Taman dan Halaman Kampus STIA LAN Jakarta",Pokja Pengadaan Barang/ Jasa Satker 662621,590000000,CV. Bima Sakti Utama,02.665.416.0-4070,674752000,2012-12-14,STIA LAN JAKARTA,"","",2013-01-10,APBN,2013,Jasa Lainnya,774011,675000000,8292011,14748,Jakarta Pusat (Kota),DKI Jakarta
114,5999,2678114,LPSE Kementerian Perhubungan,Ditjen Perkeretaapian,2765114,Mengangkat Track Existing Untuk menyesuaikan Track Baru di Km. 213+600 s.d Km.214+000 Antara Waraduwur-Cirebon Prujakan Lintas Semarang Cirebon. PAKET 18-13 TR 10 (Lelang Tidak Mengikat),Panitia Pengadaan Barang/Jasa Satker Peningkatan KA Lintas Utara Jawa,3210530000,"","",3273046000,2012-12-25,PENINGKATAN JALAN KA LINTAS UTARA JAWA,"","",2013-04-08,APBN,2013,Pekerjaan Konstruksi,304114,3284267000,"",14748,Jakarta Pusat (Kota),DKI Jakarta
114,7999,2750114,LPSE Kementerian Perhubungan,Ditjen Phb Udara,2569114,"Pengadaan Asuransi Pesawat Udara 11 (Sebelas) Pesawat, 1 Paket (lelang tidak mengikat)",PANITIA PENGADAAN BARANG/JASA BALAI KALIBRASI FASILITAS PENERBANGAN TA. 2013,5420000000,PT. Asuransi Tugu Kresna Pratama,01.568.936.7-0620,5515932160,2012-12-27,BALAI KALIBRASI FASILITAS PENERBANGAN,"","",2013-01-22,APBN,2013,Pengadaan Barang,229114,5633020000,1742114,14748,Jakarta Pusat (Kota),DKI Jakarta
333,1333,1720333,LPSE Kabupaten Tangerang,BPTI,1524333,Belanja Makan dan Minum Rapat,Panitia Pengadaan Barang/Jasa Lingkup SETDA,611760000,"","",620000000,2012-12-20,SETDA,"","",2013-01-16,APBD,2013,Jasa Lainnya,5333,620000000,"",15050,Tangerang (Kab.),Banten
252,21999,1185252,LPSE Kementerian Hukum dan HAM RI,KANWIL BANGKA BELITUNG,1207252,PENGADAAN BAHAN MAKANAN TAHANAN/NARAPIDANA PADA CABANG RUTAN MUNTOK,Panitia Pengadaan Bahan Makanan Narapidana dan Tahanan Cabrut Muntok,325263860,"","",328501520,2012-12-17,Cabang Rumah Tahanan Negara Muntok,"","",2013-01-01,APBN,2013,Pengadaan Barang,161252,329400000,"",14752,Jakarta Selatan (Kota),DKI Jakarta
252,24999,943252,LPSE Kementerian Hukum dan HAM RI,KANWIL JAWA BARAT,935252,PENGADAAN BAHAN MAKANAN UNTUK WARGA BINAAN LEMBAGA PEMASYARAKATAN KLAS IIB GARUT TAHUN ANGGARAN 2013,Panitia Pelelangan Umum Pengadaan Bahan Makanan Napi/Tahanan TA 2013 Lapas Garut,1791463000,"","",1820182000,2012-12-04,LAPAS KLAS IIB GARUT,"","",2013-01-01,APBN,2013,Pengadaan Barang,296252,1820182000,"",14752,Jakarta Selatan (Kota),DKI Jakarta
252,13999,955252,LPSE Kementerian Hukum dan HAM RI,KANWIL SUMATERA UTARA,953252,PENGADAAN BAHAN MAKANAN NAPI/TAHANAN RUTAN LABUHAN DELI,RUMAH TAHANAN NEGARA LABUHAN DELI,3028948190,"","",3119780900,2012-12-04,Rumah Tahanan Negara Labuahan Deli,"","",2012-12-31,APBN,2012,Pengadaan Barang,677252,3120767000,"",14752,Jakarta Selatan (Kota),DKI Jakarta
114,3999,2469114,LPSE Kementerian Perhubungan,Ditjen Phb Laut,2552114,Pekerjaan Subsidi Pengoperasian Angkutan Laut Perintis Pangkalan Kupang Kode Trayek R-16,PANITIA PENGADAAN BARANG/JASA PEMERINTAH KANTOR ADPEL KUPANG TA.2012,5554271006,"","",5565258300,2012-12-12,Kantor Kesyahbandaran dan Otoritas Pelabuhan Kupang ,"","",2013-01-09,APBN,2013,Jasa Lainnya,271114,5565258300,"",14748,Jakarta Pusat (Kota),DKI Jakarta
218,6218,816218,LPSE Kementerian Kelautan dan Perikanan,BPSDMKP,888218,Perencanaan Konstruksi Gedung Budidaya Indoor Sekolah Tinggi Perikanan di Karawang,Panitia Pembangunan Pengembangan Kapasitas Kelembagaan STP Jakarta,169983000,"","",227659000,2012-12-30,Sekolah Tinggi Perikanan Jakarta,"","",2013-02-12,APBN,2013,Jasa Konsultansi,150218,228659000,"",14748,Jakarta Pusat (Kota),DKI Jakarta
